Black Body Radiation Experiment Wed, Oct 19, 2022 11:06 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.08446
0.00000	-0.08462
0.00000	-0.08575
0.00000	-0.08301
0.00000	-0.08575
0.00000	-0.08558
0.00000	-0.08413
0.00000	-0.08558
0.00000	-0.08736
0.00000	-0.08945
0.00000	-0.08317
0.00000	-0.08961
0.00000	-0.08510
0.00000	-0.08558
0.00000	-0.08123
0.00000	-0.08526
0.00000	-0.08494
0.00000	-0.08864
0.00000	-0.08687
0.00000	-0.08285
0.00000	-0.08349
0.00000	-0.08542
0.00000	-0.08478
0.00000	-0.08671
0.00000	-0.08446
0.00000	-0.08413
0.00000	-0.08848
0.00000	-0.08719
0.00000	-0.08736
0.00000	-0.08156
0.00000	-0.08687
0.00000	-0.08204
0.00000	-0.08736
0.00000	-0.08510
0.00000	-0.08655
0.00000	-0.08768
0.00000	-0.08397
0.00000	-0.08639
0.00000	-0.08607
0.00000	-0.08542
0.00000	-0.08510
0.00000	-0.08607
0.00000	-0.08397
0.00000	-0.08510
0.00000	-0.08478
0.00000	-0.08655
0.00000	-0.08719
0.00000	-0.08542
0.00000	-0.08285
0.00000	-0.08687
0.00000	-0.08719
0.00000	-0.08575
0.00000	-0.08800
0.00000	-0.08575
0.00000	-0.08268
0.00000	-0.08591
0.00000	-0.08494
0.00000	-0.08333
0.00000	-0.08413
0.00000	-0.08494
0.00000	-0.08575
0.00000	-0.08140
0.00000	-0.08413
0.00000	-0.08768
0.00000	-0.08655
0.00000	-0.08446
0.00000	-0.08397
0.00000	-0.08719
0.00000	-0.08317
0.00000	-0.08575
0.00000	-0.08768
0.00000	-0.08816
0.00000	-0.08639
0.00000	-0.08349
0.00000	-0.08285
0.00000	-0.08236
0.00000	-0.08317
0.00000	-0.08349
0.00000	-0.08381
0.00000	-0.08494
0.00000	-0.08172
0.00000	-0.08091
0.00000	-0.08542
0.00000	-0.08204
0.00000	-0.08961
0.00000	-0.08784
0.00000	-0.08526
0.00000	-0.08236
0.00000	-0.08558
0.00000	-0.08494
0.00000	-0.08784
0.00000	-0.08494
0.00000	-0.08687
0.00000	-0.08623
0.00000	-0.08687
0.00000	-0.08107
0.00000	-0.08365
0.00000	-0.08333
0.00000	-0.08381
0.00000	-0.08236
0.00000	-0.08462
0.00000	-0.08397
0.00000	-0.08349
0.00000	-0.07898
0.00000	-0.09009
0.00000	-0.08478
0.00000	-0.08864
0.00000	-0.08864
0.00000	-0.08059
0.00000	-0.08768
0.00000	-0.08365
0.00000	-0.08285
0.00000	-0.08494
0.00000	-0.08848
0.00000	-0.08526
0.00000	-0.08381
0.00000	-0.08542
0.00000	-0.08236
0.00000	-0.08365
0.00000	-0.08478
0.00000	-0.08446
0.00000	-0.08381
0.00000	-0.08140
0.00000	-0.08703
0.00000	-0.08575
0.00000	-0.08558
0.00000	-0.08397
0.00000	-0.08494
0.00000	-0.08446
0.00000	-0.08703
0.00000	-0.07946
0.00000	-0.08623
0.00000	-0.08526
0.00000	-0.08607
0.00000	-0.08172
0.00000	-0.08381
0.00000	-0.08301
0.00000	-0.08623
0.00000	-0.08123
0.00000	-0.08446
0.00000	-0.08365
0.00000	-0.08349
0.00000	-0.08301
0.00000	-0.08381
0.00000	-0.08542
0.00000	-0.08575
0.00000	-0.08494
0.00000	-0.08301
0.00000	-0.08768
