Black Body Radiation Experiment Wed, Oct 19, 2022 11:07 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.02856
0.00000	-0.03178
0.00000	-0.03291
0.00000	-0.03129
0.00000	-0.02791
0.00000	-0.02968
0.00000	-0.02678
0.00000	-0.03065
0.00000	-0.02856
0.00000	-0.02791
0.00000	-0.02807
0.00000	-0.03178
0.00000	-0.02453
0.00000	-0.02968
0.00000	-0.03129
0.00000	-0.03162
0.00000	-0.02662
0.00000	-0.02421
0.00000	-0.02807
0.00000	-0.02984
0.00000	-0.02920
0.00000	-0.02372
0.00000	-0.02227
0.00000	-0.03113
0.00000	-0.02920
0.00000	-0.02517
0.00000	-0.03049
0.00000	-0.03194
0.00000	-0.02936
0.00000	-0.02598
0.00000	-0.02856
0.00000	-0.02984
0.00000	-0.03355
0.00000	-0.03017
0.00000	-0.03162
0.00000	-0.02678
0.00000	-0.03033
0.00000	-0.02872
0.00000	-0.02533
0.00000	-0.02678
0.00000	-0.03033
0.00000	-0.03081
0.00000	-0.02791
0.00000	-0.02372
0.00000	-0.02839
0.00000	-0.03258
0.00000	-0.02775
0.00000	-0.02308
0.00000	-0.02775
0.00000	-0.02549
0.00000	-0.03017
0.00000	-0.02856
0.00000	-0.02872
0.00000	-0.02807
0.00000	-0.02920
0.00000	-0.03065
0.00000	-0.02356
0.00000	-0.02517
0.00000	-0.02646
0.00000	-0.03226
0.00000	-0.02694
0.00000	-0.02743
0.00000	-0.02984
0.00000	-0.03129
0.00000	-0.02598
0.00000	-0.02968
0.00000	-0.02920
0.00000	-0.02453
0.00000	-0.02517
0.00000	-0.02340
0.00000	-0.02952
0.00000	-0.02517
0.00000	-0.02791
0.00000	-0.02743
0.00000	-0.02711
0.00000	-0.02743
0.01035	-0.02533
0.01035	-0.02968
0.01035	-0.02759
0.01035	-0.02582
0.02070	-0.02952
0.02070	-0.02872
0.02070	-0.03178
0.03104	-0.02662
0.03104	-0.02646
0.03104	-0.02276
0.04139	-0.03065
0.04139	-0.02920
0.06209	-0.02598
0.13453	-0.02807
0.44497	-0.02646
0.78646	-0.02711
1.22109	-0.02582
1.53153	-0.02646
1.86268	-0.02630
2.28695	-0.02533
2.77332	-0.03081
3.21829	-0.02421
3.65291	-0.02727
4.04614	-0.02308
4.40833	-0.02968
4.73947	-0.03081
4.96713	-0.02566
5.15340	-0.02727
5.28793	-0.02598
5.43280	-0.02856
5.51559	-0.02711
5.61907	-0.03113
5.69151	-0.02904
5.73290	-0.02791
5.78464	-0.02678
5.83638	-0.02163
5.88812	-0.02485
6.01230	-0.02952
6.05369	-0.03017
6.16752	-0.02839
6.21927	-0.02259
6.33310	-0.02582
6.41588	-0.02437
6.49867	-0.02759
6.62285	-0.02308
6.65389	-0.02195
6.75737	-0.02243
6.76772	-0.02356
6.85051	-0.02791
6.89190	-0.02598
6.98503	-0.02276
7.06782	-0.02469
7.14026	-0.02340
7.22304	-0.02469
7.31617	-0.02727
7.45070	-0.02566
7.55418	-0.02598
7.70941	-0.02372
7.82324	-0.02711
7.96811	-0.02598
8.09229	-0.02582
8.20612	-0.02517
8.35099	-0.02372
8.48552	-0.02372
8.59935	-0.02372
8.68214	-0.02727
8.78562	-0.02098
8.87875	-0.02372
9.02363	-0.02936
9.09606	-0.02598
9.16850	-0.02259
9.23059	-0.02437
9.30303	-0.02614
9.38581	-0.02598
9.44790	-0.02082
9.50999	-0.02388
9.59278	-0.02388
9.68591	-0.02533
9.75835	-0.02195
9.85148	-0.02775
9.97566	-0.02727
10.07914	-0.02614
10.20332	-0.02872
10.35854	-0.02711
10.51377	-0.02566
10.64829	-0.02711
10.79317	-0.03049
10.95874	-0.02711
11.13466	-0.02533
11.24849	-0.02404
11.36232	-0.02711
11.47615	-0.02227
11.58998	-0.02517
11.70381	-0.02662
11.79694	-0.02404
11.92112	-0.02308
12.01426	-0.02566
12.11774	-0.02630
12.19018	-0.02582
12.27296	-0.02727
12.33505	-0.02549
12.38679	-0.03033
12.44888	-0.02727
12.51097	-0.02727
12.57306	-0.02711
12.61445	-0.02549
12.66619	-0.02533
12.70758	-0.02195
12.73863	-0.02630
12.79037	-0.02984
12.82141	-0.02743
12.85246	-0.02904
12.87316	-0.02888
12.88350	-0.02694
12.90420	-0.02791
12.90420	-0.02936
12.90420	-0.02711
12.91455	-0.02453
12.91455	-0.02388
12.92490	-0.02501
12.92490	-0.02759
12.93525	-0.02646
12.94559	-0.02839
12.96629	-0.03017
12.98699	-0.02582
13.00768	-0.02678
13.02838	-0.02308
13.05942	-0.02759
13.09047	-0.02791
13.12151	-0.02936
13.15256	-0.03178
13.19395	-0.02485
13.23534	-0.02533
13.26639	-0.02485
13.30778	-0.02759
13.34917	-0.02775
13.40091	-0.02759
13.44231	-0.03049
13.48370	-0.02936
13.52509	-0.02743
13.57683	-0.02131
13.63892	-0.02485
13.71136	-0.02678
13.77345	-0.02904
13.84589	-0.02549
13.91832	-0.02711
13.99076	-0.02646
14.05285	-0.02211
14.11494	-0.02163
14.16668	-0.02630
14.21842	-0.02227
14.27016	-0.02388
14.31156	-0.02678
14.34260	-0.02968
14.39434	-0.02485
14.43573	-0.02630
14.47713	-0.02630
14.51852	-0.02614
14.55991	-0.02856
14.61165	-0.02469
14.65305	-0.02936
14.70479	-0.02227
14.76688	-0.02566
14.81862	-0.02421
14.88071	-0.02872
14.93245	-0.02952
14.98419	-0.02195
15.03593	-0.02694
15.08767	-0.02388
15.14976	-0.02678
15.20150	-0.02098
15.24289	-0.02356
15.27394	-0.02501
15.29463	-0.02469
15.31533	-0.02292
15.33603	-0.02243
15.35672	-0.02566
15.35672	-0.02517
15.37742	-0.02292
15.39812	-0.02243
15.41881	-0.02437
15.43951	-0.02614
15.46020	-0.02501
15.49125	-0.02195
15.53264	-0.01937
15.60508	-0.02131
15.67752	-0.01647
15.71891	-0.02549
15.77065	-0.01680
15.82239	-0.02227
15.86378	-0.02147
15.91553	-0.02034
15.93622	-0.02404
15.97761	-0.02211
16.01901	-0.02404
16.05005	-0.02098
16.09144	-0.02227
16.13284	-0.02147
16.16388	-0.02259
16.19493	-0.02034
16.21562	-0.02115
16.24667	-0.02259
16.26736	-0.02082
16.29841	-0.02131
16.31911	-0.01986
16.33980	-0.01905
16.36050	-0.02082
16.37085	-0.02002
16.39154	-0.02308
16.40189	-0.02066
16.42259	-0.02388
16.44328	-0.02082
16.47433	-0.02131
16.49502	-0.01873
16.52607	-0.01792
16.56746	-0.01970
16.60885	-0.02002
16.67094	-0.02340
16.73303	-0.02002
16.80547	-0.02163
16.89860	-0.02179
16.99174	-0.02082
17.06418	-0.01986
17.14696	-0.02356
17.22975	-0.02147
17.30218	-0.02308
17.37462	-0.01760
17.44706	-0.01986
17.49880	-0.02018
17.55054	-0.01986
17.59193	-0.02002
17.63333	-0.02195
17.65402	-0.02131
17.68507	-0.02485
17.71611	-0.01583
17.74716	-0.01873
17.77820	-0.02082
17.80925	-0.01696
17.84029	-0.01615
17.87133	-0.01470
17.90238	-0.01857
17.97482	-0.01696
18.02656	-0.01873
18.08865	-0.01760
18.15074	-0.01486
18.22317	-0.01680
18.29561	-0.01953
18.36805	-0.01921
18.45083	-0.01261
18.52327	-0.01518
18.62675	-0.01808
18.70954	-0.01373
18.78198	-0.01535
18.87511	-0.01438
18.97859	-0.01132
19.05103	-0.01583
19.18556	-0.01019
19.26834	-0.00922
19.37182	-0.00777
19.49600	-0.01132
19.59948	-0.00230
19.67192	-0.00326
19.76505	-0.00294
19.81680	0.00221
19.87888	0.00060
19.96167	-0.00085
20.01341	0.00511
20.08585	0.00221
20.17898	0.00689
20.24107	0.00640
20.36525	0.01494
20.45838	0.01639
20.61361	0.01397
20.76883	0.01655
20.89301	0.02090
21.01719	0.02557
21.19311	0.03540
21.40007	0.04313
21.59669	0.04571
21.78295	0.05505
21.97957	0.05602
22.11410	0.05586
22.22793	0.05666
22.32106	0.05731
22.41419	0.05312
22.48663	0.05425
22.55907	0.04748
