Black Body Radiation Experiment Wed, Oct 19, 2022 11:35 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.05433
0.00000	-0.05353
0.00000	-0.05175
0.00000	-0.05272
0.00000	-0.05030
0.00000	-0.05079
0.00000	-0.05143
0.00000	-0.05224
0.00000	-0.05111
0.00000	-0.05320
0.00000	-0.05079
0.00000	-0.05079
0.00000	-0.05675
0.00000	-0.05433
0.00000	-0.05336
0.00000	-0.05127
0.00000	-0.05256
0.00000	-0.05417
0.00000	-0.05191
0.00000	-0.05417
0.00000	-0.05111
0.00000	-0.05095
0.00000	-0.05336
0.00000	-0.05240
0.00000	-0.05095
0.00000	-0.05320
0.00000	-0.05143
0.00000	-0.05353
0.00000	-0.04950
0.00000	-0.05224
0.00000	-0.04998
0.00000	-0.05514
0.00000	-0.05014
0.00000	-0.05046
0.00000	-0.05369
0.00000	-0.05014
0.00000	-0.05240
0.00000	-0.05401
0.00000	-0.05401
0.00000	-0.05433
0.00000	-0.05143
0.00000	-0.05771
0.00000	-0.05643
0.01035	-0.05336
0.01035	-0.05401
0.03104	-0.05481
0.05174	-0.05240
0.08279	-0.05530
0.11383	-0.05449
0.15522	-0.05385
0.18627	-0.05224
0.23801	-0.04901
0.30010	-0.04998
0.37254	-0.05401
0.44497	-0.05111
0.52776	-0.05530
0.61054	-0.05175
0.69333	-0.05191
0.75542	-0.05014
0.84855	-0.05514
0.93134	-0.05707
1.03482	-0.05659
1.12795	-0.05949
1.21074	-0.05659
1.32457	-0.05385
1.40735	-0.05481
1.49014	-0.05175
1.56258	-0.05030
1.62467	-0.05288
1.68676	-0.05127
1.74885	-0.05401
1.80059	-0.05755
1.85233	-0.05095
1.90407	-0.05417
1.95581	-0.05353
1.99720	-0.05288
2.04894	-0.04966
2.11103	-0.05127
2.16277	-0.05353
2.21451	-0.05401
2.27660	-0.05224
2.34904	-0.05401
2.43183	-0.04966
2.52496	-0.05095
2.62844	-0.05208
2.72158	-0.05256
2.82506	-0.05288
2.91819	-0.05159
3.01133	-0.05288
3.10446	-0.05385
3.18724	-0.05030
3.27003	-0.05433
3.35282	-0.05320
3.43560	-0.04950
3.51839	-0.05433
3.59082	-0.05111
3.67361	-0.04885
3.74605	-0.05530
3.82883	-0.05369
3.89092	-0.05578
3.95301	-0.05771
4.00475	-0.05385
4.05649	-0.05191
4.10823	-0.05659
4.15997	-0.05272
4.22206	-0.05433
4.28415	-0.05433
4.34624	-0.05320
4.39798	-0.05256
4.47042	-0.05385
4.54286	-0.05304
4.62564	-0.05256
4.69808	-0.05240
4.78087	-0.05304
4.87400	-0.05014
4.96713	-0.05288
5.06027	-0.04918
5.16375	-0.04982
5.25688	-0.05014
5.35002	-0.05578
5.47420	-0.05143
5.60872	-0.05256
5.74325	-0.05320
5.86743	-0.05336
5.98126	-0.05514
6.10544	-0.05336
6.20892	-0.04998
6.31240	-0.04901
6.39519	-0.05127
6.49867	-0.04982
6.58145	-0.05079
6.65389	-0.05643
6.71598	-0.05433
6.78842	-0.05707
6.85051	-0.05320
6.91259	-0.05159
6.97468	-0.04692
7.02643	-0.05514
7.09886	-0.05723
7.14026	-0.05030
7.18165	-0.05224
7.22304	-0.05498
7.27478	-0.05272
7.32652	-0.05224
7.37826	-0.05014
7.43000	-0.05127
7.48175	-0.05111
7.52314	-0.05127
7.56453	-0.05111
7.60592	-0.05449
7.63697	-0.05127
7.67836	-0.05191
7.74045	-0.05175
7.79219	-0.05288
7.85428	-0.04885
7.90602	-0.05353
7.96811	-0.04885
8.01985	-0.04998
8.08194	-0.05127
8.13368	-0.05256
8.19577	-0.05401
8.24751	-0.05224
8.30960	-0.05530
8.38204	-0.05046
8.45448	-0.05063
8.53726	-0.05063
8.64074	-0.05562
8.71318	-0.05159
8.82701	-0.05111
8.94084	-0.05143
9.05467	-0.05256
9.15815	-0.05304
9.26164	-0.04998
9.36512	-0.04708
9.46860	-0.05111
9.56173	-0.05288
9.64452	-0.05256
9.74800	-0.04998
9.83079	-0.04918
9.91357	-0.04821
9.97566	-0.04966
10.02740	-0.05046
10.07914	-0.04692
10.13088	-0.05095
10.18262	-0.05030
10.23437	-0.05159
10.28611	-0.05030
10.32750	-0.05127
10.37924	-0.04756
10.44133	-0.05191
10.50342	-0.04789
10.56551	-0.05191
10.62760	-0.04934
10.70003	-0.04934
10.77247	-0.04934
10.83456	-0.05175
10.88630	-0.05175
10.96909	-0.04644
11.01048	-0.04773
11.11396	-0.05272
11.15536	-0.04773
11.20710	-0.05159
11.25884	-0.05304
11.31058	-0.04724
11.35197	-0.04982
11.41406	-0.04644
11.45545	-0.04934
11.48650	-0.05095
11.52789	-0.04740
11.56928	-0.04612
11.62102	-0.05014
11.67277	-0.04837
11.70381	-0.05256
11.73485	-0.05030
11.76590	-0.04901
11.77625	-0.04998
11.79694	-0.04740
11.80729	-0.05159
11.81764	-0.04740
11.82799	-0.04773
11.83834	-0.04982
11.84868	-0.04805
11.85903	-0.05127
11.85903	-0.04595
11.87973	-0.04644
11.90043	-0.05030
11.93147	-0.05159
11.95217	-0.04901
11.99356	-0.05159
12.02460	-0.05111
12.06600	-0.04869
12.11774	-0.05240
12.15913	-0.05111
12.22122	-0.04740
12.27296	-0.04885
12.33505	-0.04998
12.38679	-0.04966
12.43853	-0.04354
12.49027	-0.04612
12.54201	-0.04692
12.60410	-0.04982
12.66619	-0.04756
12.71793	-0.04563
12.78002	-0.04789
12.82141	-0.04885
12.87316	-0.04805
12.91455	-0.04467
12.96629	-0.05046
13.02838	-0.04805
13.09047	-0.05208
13.15256	-0.05127
13.22499	-0.04918
13.29743	-0.04789
13.38022	-0.04740
13.46300	-0.04821
13.56649	-0.04531
13.68032	-0.05063
13.79415	-0.04483
13.90798	-0.04531
14.01146	-0.04499
14.13564	-0.04483
14.28051	-0.05240
14.35295	-0.04708
14.42539	-0.04515
14.52887	-0.05175
14.61165	-0.04885
14.68409	-0.04740
14.75653	-0.04676
14.81862	-0.04515
14.88071	-0.04934
14.94280	-0.04821
15.00488	-0.04547
15.05663	-0.04563
15.10837	-0.04660
15.16011	-0.04628
15.19115	-0.04853
15.24289	-0.04483
15.29463	-0.04515
15.34637	-0.04579
15.38777	-0.04660
15.42916	-0.04305
15.48090	-0.04789
15.53264	-0.04160
15.57404	-0.04499
15.62578	-0.04579
15.65682	-0.04531
15.68787	-0.04724
15.71891	-0.04354
15.73961	-0.04241
15.77065	-0.04515
15.80170	-0.04434
15.84309	-0.04450
15.87413	-0.04563
15.90518	-0.04676
15.93622	-0.04547
15.97761	-0.04338
16.01901	-0.04934
16.06040	-0.04676
16.11214	-0.04853
16.16388	-0.04434
16.20528	-0.04193
16.26736	-0.04418
16.32945	-0.04483
16.38119	-0.04692
16.43294	-0.04225
16.47433	-0.04177
16.52607	-0.04773
16.56746	-0.04434
16.60885	-0.04434
16.66060	-0.04160
16.69164	-0.04128
16.74338	-0.04032
16.77443	-0.04322
16.82617	-0.04322
16.86756	-0.04209
16.89860	-0.04257
16.94000	-0.04096
16.99174	-0.04386
17.03313	-0.04402
17.08487	-0.04434
17.12626	-0.04547
17.18835	-0.04402
17.24009	-0.04370
17.29184	-0.04434
17.33323	-0.04305
17.40567	-0.04531
17.45741	-0.04450
17.50915	-0.04869
17.55054	-0.04386
17.59193	-0.04934
17.62298	-0.04998
17.66437	-0.04386
17.69542	-0.04547
17.72646	-0.04708
17.74716	-0.04386
17.76785	-0.04644
17.79890	-0.04740
17.82994	-0.04756
17.87133	-0.04338
17.92308	-0.04418
17.97482	-0.04483
18.02656	-0.04402
18.07830	-0.04386
18.11969	-0.04257
18.18178	-0.04080
18.22317	-0.04032
18.28526	-0.04434
18.35770	-0.03854
18.40944	-0.04450
18.51292	-0.04305
18.59571	-0.03887
18.67849	-0.04289
18.75093	-0.03999
18.84407	-0.03951
18.93720	-0.04048
19.03033	-0.03967
19.14416	-0.03838
19.23730	-0.03597
19.35113	-0.03516
19.48565	-0.03371
19.57879	-0.03210
19.72366	-0.03339
19.85819	-0.02759
19.95132	-0.02356
20.06515	-0.02517
20.14794	-0.01631
20.21003	-0.01647
20.30316	-0.01373
20.35490	-0.01261
20.44804	-0.01100
20.49978	-0.01035
20.58256	-0.00052
20.64465	-0.00101
20.72744	0.00125
20.76883	0.00318
20.82057	0.00689
20.88266	0.01285
20.93440	0.01124
20.97579	0.01736
21.00684	0.01703
21.06893	0.01913
21.12067	0.02380
21.19311	0.02751
